Haciendo prueba con: 
Tamano del arreglo: 50000
 #ejec        is_t        ss_t        bs_t        ms_t        qs_t   is_stddev   ss_stddev   bs_stddev   ms_stddev   qs_stddev
     1	     1.31776     1.86806     2.14436     0.00435     5.83761     0.00000     0.00000     0.00000     0.00000     0.00000
     2	     1.30702     1.79006     2.19023     0.00438     5.79282     0.00000     0.00000     0.00000     0.00000     0.00000
     3	     1.28660     1.79381     2.24394     0.00504     5.82681     0.00000     0.00000     0.00000     0.00000     0.00000
     4	     1.25257     2.01279     2.07349     0.00436     5.83717     0.00000     0.00000     0.00000     0.00000     0.00000
     5	     1.17803     2.10635     1.95654     0.00434     5.91298     0.00000     0.00000     0.00000     0.00000     0.00000
     6	     1.35317     1.87890     1.95763     0.00434     6.00783     0.00000     0.00000     0.00000     0.00000     0.00000
     7	     1.34245     1.78182     1.97125     0.00594     5.90379     0.00000     0.00000     0.00000     0.00000     0.00000
     8	     1.24297     1.83359     2.08784     0.00440     5.88249     0.00000     0.00000     0.00000     0.00000     0.00000
     9	     1.18134     1.84552     2.11698     0.00435     5.84564     0.00000     0.00000     0.00000     0.00000     0.00000
    10	     1.22316     1.85464     2.12631     0.00434     5.89762     0.00000     0.00000     0.00000     0.00000     0.00000
    11	     1.20730     2.08946     1.96779     0.00514     5.90358     0.00000     0.00000     0.00000     0.00000     0.00000
    12	     1.18904     1.97809     1.96585     0.00435     5.87360     0.00000     0.00000     0.00000     0.00000     0.00000
    13	     1.24468     1.90277     2.06839     0.00438     5.77185     0.00000     0.00000     0.00000     0.00000     0.00000
    14	     1.33709     1.79482     2.07462     0.00439     5.85173     0.00000     0.00000     0.00000     0.00000     0.00000
    15	     1.27110     1.84464     2.03475     0.00439     5.92467     0.00000     0.00000     0.00000     0.00000     0.00000
    16	     1.24457     1.83673     2.08529     0.00433     6.02571     0.00000     0.00000     0.00000     0.00000     0.00000
    17	     1.28021     1.90389     2.06790     0.00434     5.78875     0.00000     0.00000     0.00000     0.00000     0.00000
    18	     1.29800     1.90283     2.04006     0.00437     5.86962     0.00000     0.00000     0.00000     0.00000     0.00000
    19	     1.18545     1.89554     2.04911     0.00434     5.89010     0.00000     0.00000     0.00000     0.00000     0.00000
    20	     1.28478     1.83180     1.98044     0.00434     5.95103     0.00000     0.00000     0.00000     0.00000     0.00000
    21	     1.27010     1.85139     2.04406     0.00435     5.88277     0.00000     0.00000     0.00000     0.00000     0.00000
    22	     1.31814     1.82323     2.13721     0.00439     5.85604     0.00000     0.00000     0.00000     0.00000     0.00000
    23	     1.23067     1.79134     2.09923     0.00434     5.87313     0.00000     0.00000     0.00000     0.00000     0.00000
    24	     1.23475     1.84424     2.04344     0.00436     5.84329     0.00000     0.00000     0.00000     0.00000     0.00000
    25	     1.21673     1.91628     2.07598     0.00436     5.82025     0.00000     0.00000     0.00000     0.00000     0.00000
    26	     1.21103     1.86194     2.12544     0.00437     5.81311     0.00000     0.00000     0.00000     0.00000     0.00000
    27	     1.29960     1.83656     2.05899     0.00434     5.97288     0.00000     0.00000     0.00000     0.00000     0.00000
    28	     1.22733     1.87678     2.11221     0.00439     5.86203     0.00000     0.00000     0.00000     0.00000     0.00000
    29	     1.21218     1.89614     2.17929     0.00434     5.86168     0.00000     0.00000     0.00000     0.00000     0.00000
    30	     1.31043     1.86744     2.15938     0.00444     5.88166     0.00000     0.00000     0.00000     0.00000     0.00000
*** TIEMPO PROMEDIO ***
Insertion sort:	1.25861
Selection sort:	1.87705
Bubble sort:	2.07460
Merge sort:	0.00446
Quicksort:	5.87541
*** DESVIACION ESTANDAR ***
Insertion sort:	0.05012
Selection sort:	0.07812
Bubble sort:	0.07174
Merge sort:	0.00033
Quick sort:	0.05835
